No,Tema,Situasi,Pilihan Benar,Pilihan Salah
1,Sharing & Turn-Taking,Kamu sedang bermain dengan mainan kesayanganmu. Teman di sebelahmu ingin meminjamnya sebentar.,Berikan pinjaman dan minta dikembalikan setelah ia selesai bermain.,Merebut kembali dan berkata tidak mau.
2,,Kamu dan teman ingin menggunakan krayon biru yang sama untuk mewarnai gambar.,"Bergantian menggunakannya, kamu mewarnai dulu, lalu temanmu.",Merebut krayon itu agar kamu yang mewarnai lebih dulu.
3,,"Saat bermain ayunan di taman, ada teman yang sudah menunggu lama ingin giliran naik.",Turun dari ayunan setelah selesai dan persilakan temanmu naik.,Tetap bermain terus meski tahu temanmu sudah menunggu lama.
4,,"Ada sepotong kue tersisa di piring. Kamu ingin memakannya, tapi adikmu juga melihatnya.",Bagi kue menjadi dua bagian agar kalian bisa makan bersama.,Langsung memakan kue tanpa berbagi.
5,,Kamu sedang membaca buku bergambar favoritmu. Temanmu datang dan ingin membaca bersama.,Undang temanmu duduk di sampingmu dan baca bersama-sama.,Sembunyikan buku agar temanmu tidak ikut membaca.
6,Emotional Regulation,Kamu kalah dalam permainan balap mobil dan merasa sangat kesal.,"Tarik napas dalam-dalam, tersenyum, dan ucapkan 'selamat' kepada temanmu yang menang.",Melembar mobil-mobilan ke lantai karena kesal kalah.
7,,"Kamu ingin bermain dengan mainan robot, tapi kakakmu bilang kamu harus menunggu sebentar.","Bilang 'iya, aku tunggu' lalu cari kegiatan lain sambil menunggu.",Menangis keras-keras dan merengek terus menerus.
8,,Teman tidak sengaja menumpahkan air ke gambar yang sudah kamu buat dengan susah payah.,"Tarik napas, bilang 'tidak apa-apa', dan buat ulang gambarnya bersama.",Berteriak marah dan mendorong teman karena gambarmu rusak.
9,,"Kamu sangat ingin membeli es krim, tapi ibu bilang hari ini tidak bisa.","Terima keputusan ibu dan katakan 'baik bu, mungkin lain kali'.","Ngambek, banting tas, dan tidak mau berbicara dengan ibu."
10,,"Saat bermain balok, bangunan yang kamu buat tiba-tiba roboh sendiri.","Ambil napas, tersenyum, lalu mulai membangun kembali dari awal.",Menendang balok-balok itu karena merasa frustrasi.
11,Assertive Communication,Kamu ingin meminjam pensil warna milik temanmu untuk menyelesaikan gambarmu.,Bertanya dengan sopan: 'Boleh aku pinjam pensil warnamu sebentar?',Langsung ambil pensil warnanya tanpa bertanya dulu.
